id,case_id,paragraph_number,passage_text,significance,is_ratio,passage_number,source_provenance
ed9c9a63-a4c5-4770-8e1a-815065a4bc84,c119c2db-8f79-489a-893e-f07758e382ae,84,"The Act was enacted to provide for speedy disposal of commercial disputes. A commercial dispute under Section 2(1)(c) encompasses diverse business transactions. Section 12A was inserted by Act 28 of 2018. The words 'shall not be instituted' are peremptory, clear and unambiguous. The legislative intent was to compel parties to attempt pre-institution mediation before choking court dockets.",Statutory construction of Section 12A imperative mandate,0,1,Supreme Court Reports (SCR) / Official Record
138f8928-fd0e-4c35-9856-86c03010b83c,c119c2db-8f79-489a-893e-f07758e382ae,91,"Consequently, we declare that Section 12A of the Act is mandatory and hold that any suit instituted violating the mandate of Section 12A must be visited with rejection of the plaint under Order VII Rule 11. This declaration is made effective prospectively from 20 August 2022.",Operative Ratio Decidendi: Rejection of plaint under Order VII Rule 11 CPC,1,2,Supreme Court Reports (SCR) / Official Record
b5f5871e-272f-4942-8fdf-e1dde5760807,c119c2db-8f79-489a-893e-f07758e382ae,93,"Where urgent interim relief is contemplated, the plaint must contain specific pleadings demonstrating genuine urgency. A mere cosmetic prayer for interim relief invented to bypass Section 12A shall be scrutinized by the Commercial Court.",Threshold test for contemplated urgent interim relief,0,3,Supreme Court Reports (SCR) / Official Record
b960b1d0-72a1-4153-8693-bdb10bf93de2,a6ad890a-3d03-438f-908e-3e2921ad51b0,142,"The group of companies doctrine is founded on the mutual intention of all parties to bind the non-signatory. It does not operate as an exception to consent, but rather as an application of modern consensual principles where complex commercial transactions involve parent companies, subsidiaries, and SPVs.",Core foundation: Consensual intent in complex corporate structuring,1,4,Supreme Court Reports (SCR) / Official Record
d6603475-d208-4213-add5-3e49fe121410,a6ad890a-3d03-438f-908e-3e2921ad51b0,168,"At the referral stage under Section 8 and Section 11, the referral court must only look into the prima facie existence of the arbitration agreement. The question of whether the non-signatory is indeed a party must be left to the Arbitral Tribunal under Section 16 (competence-competence).",Jurisdictional boundary between Section 11 referral court and Arbitral Tribunal,0,5,Supreme Court Reports (SCR) / Official Record
bdca5ec6-8188-4610-93c8-39783a204859,44972d9e-64bb-4c71-8141-990a7640cb62,22,[OVERRULED PRINCIPLE] An arbitration agreement contained in an unstamped or deficiently stamped commercial contract cannot be acted upon or enforced until the contract is impounded and requisite stamp duty paid.,Historical ratio overruled by 7-Judge Constitution Bench in In Re Interplay (2023),1,6,Supreme Court Reports (SCR) / Official Record
c92dd5c9-3fb5-4016-b869-6392457c7ccc,fe355e1e-e285-48cc-8994-bb25be16eec4,43,"Where it is possible to prove actual damage or loss, such proof is not dispensed with. It is only in cases where damage or loss is difficult or impossible to prove that the liquidated amount stipulated in the contract can be awarded as reasonable compensation.",Requirement of proving actual damage when ascertainable under Section 74,1,7,Supreme Court Reports (SCR) / Official Record
7f221c73-0099-4084-959a-55905b118529,ffe69497-5cc0-469a-bc8a-96b5f30a76ff,42,"The grant of an interim injunction in commercial disputes requires the simultaneous satisfaction of three tests: a prima facie case, balance of convenience tilting in favor of the plaintiff, and irreparable injury that cannot be compensated in damages.",Three-prong commercial interim relief standard (High Court of Delhi),1,8,Supreme Court Reports (SCR) / Official Record
3f253d0d-c4bf-436d-b5fe-7f72beaf5317,e7ca7d37-c75f-477c-8239-267f2a0317e3,27,"The group of companies doctrine can be applied in enforcement proceedings under Section 35 of the Arbitration and Conciliation Act, 1996 against a non-signatory entity which has participated in commercial performance and is bound by the resultant arbitral award.",Application of group of companies doctrine to arbitral award enforcement under Section 35,1,9,Supreme Court Reports (SCR) / Official Record
fd4ddde0-7ff8-424e-b24e-b57708cc0529,c9ee0607-9b12-4df8-8c4c-85136f6055bf,12,"The words 'but not thereafter' in the proviso to sub-section (3) of Section 34 of the 1996 Act amount to an express legislative exclusion of Section 5 of the Limitation Act, 1963. The court has no power to condone delay beyond the 30-day extended statutory window.",Strict statutory exclusion of Section 5 Limitation Act from Section 34 filings,1,10,Supreme Court Reports (SCR) / Official Record
3a54919e-85a1-4081-ab64-c681b9b54860,16346efd-1fb6-4168-88cd-434f954561e5,184,The non-payment or deficiency of stamp duty is a curable defect under the Stamp Act. The failure to stamp an instrument does not render the underlying transaction or the arbitration clause void ab initio. The objection as to stamping is a matter for the arbitral tribunal to determine under Section 16 of the Arbitration Act.,Curable nature of stamp deficiency; competence-competence of arbitral tribunal,1,11,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
5344830f-f9de-4f80-a43f-feaf948ec596,16346efd-1fb6-4168-88cd-434f954561e5,224,"At the referral stage under Section 11(6) of the Arbitration Act, the examination of the referral court is strictly confined to the prima facie existence of an arbitration agreement. The question of whether the underlying contract is adequately stamped shall be determined by the arbitral tribunal.",Restricted scope of Section 11 referral court on stamping objections,0,12,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
f4d19b8e-5bc5-47df-b198-7522077de6ed,c094b202-b9b7-46bb-961a-72793e1448e5,14,"The words 'used exclusively in trade or commerce' should be given their natural meaning as occurring in Section 2(1)(c)(vii) of the Commercial Courts Act, 2015. A property should be presently and actively used for commercial activities. A mere agreement relating to immovable property without actual commercial exploitation does not satisfy the definition of a commercial dispute.",Strict construction of 'used exclusively in trade or commerce' under Section 2(1)(c)(vii),1,13,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
4a8f27ec-2466-4b3d-95f2-f64b29d1246a,02b6f96e-c55b-41e1-8156-74c79b889441,8,"The rigour of Order XI Rule 1 CPC, as substituted by the Commercial Courts Act, 2015, mandates that all documents in the plaintiff's custody must be disclosed along with the plaint. Leave of the Court to introduce additional documents subsequently can only be granted upon the plaintiff establishing reasonable cause for non-disclosure with the plaint.",Rigorous requirement of establishing reasonable cause under Order XI Rule 1(5) CPC,1,14,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
d88b4112-61e7-48b4-8e06-cd7861dd0bc4,56520389-f3ce-44b4-9186-c3675a05662e,76,A dispute is non-arbitrable when the cause of action and subject-matter of the dispute: (1) relates to actions in rem; (2) affects third-party rights or requires centralized adjudication; (3) pertains to inalienable sovereign and public interest functions; or (4) is expressly or by necessary implication non-arbitrable under specific statutory enactments.,Four-fold test of non-arbitrability in commercial disputes,1,15,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
85fb9bbb-34d7-44c8-be75-316dad7f8f74,56520389-f3ce-44b4-9186-c3675a05662e,154,"At the referral stage under Section 8 and Section 11, the court's jurisdiction is limited to a prima facie examination of the existence and validity of the arbitration agreement. When in doubt, the judicial authority should refer the matter to arbitration (rule of priority for arbitral tribunal).",Prima facie standard and pro-arbitration referral principle under Sections 8 & 11,0,16,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
17d8248f-ecbf-4207-b578-0862340565ac,a9c7c5ad-394e-40fb-bdc1-bb3fea97ac7d,67,"In every case of breach of contract, the party suffering loss is not required to lead evidence to prove actual loss if the contract contains a liquidated damages clause which represents a genuine pre-estimate of loss. It is only when the court finds the stipulated compensation to be unreasonable or penal that proof of loss is insisted upon.",Award of liquidated damages where actual loss cannot be easily proved,1,17,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
07814104-30ab-4868-a132-9e36e03e45f7,90be2af5-d091-496e-9ba5-acab4a8cbc03,27,"If an application under Section 7 of the IBC is yet to be admitted and debt default has not been crystallized, an application under Section 8 of the 1996 Act can be considered by the court. However, once the Section 7 petition is admitted, the proceeding becomes a proceeding in rem, third-party rights are created, and arbitration is barred.",Intersection between Section 7 IBC admission and Section 8 Arbitration referral,1,18,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
0ba6a51f-cb7a-43ee-8286-e23da13803df,1f8776a4-b15b-458b-a4ca-2d0d7cc205c7,41,"A trader is entitled to advertise its goods and declare them to be superior, but it cannot declare the competitor's goods to be inferior, useless, or harmful. Comparative advertising that crosses into product disparagement or dilution of trademark goodwill constitutes an actionable commercial wrong requiring interim injunctive relief.",Legal boundary between honest comparative advertising and actionable commercial disparagement,1,19,Delhi High Court Reports / SCC OnLine
