id,title,neutral_citation,standard_citation,court,judgment_date,bench_quorum,bench_strength,commercial_category,ratio_decidendi,full_text_snippet,is_good_law,status_summary,is_demo_data,jurisdiction,source_provenance
c119c2db-8f79-489a-893e-f07758e382ae,Patil Automation Private Limited and Others v. Rakheja Engineers Private Limited,2022 INSC 834,(2022) 10 SCC 1,Supreme Court of India,2022-08-17,"K. M. Joseph, Hrishikesh Roy JJ.",2,Commercial Courts Act - Pre-Institution Mediation,"Section 12A of the Commercial Courts Act, 2015, is mandatory and not directory. Any suit instituted without exhausting the remedy of pre-institution mediation, where no urgent interim relief is contemplated, is liable to be rejected under Order VII Rule 11 CPC. This mandate is prospective with effect from 20-08-2022.",Held: The declaration of law is made clear. Pre-institution mediation under Section 12A is mandatory. The design of the Parliament in incorporating Section 12A was to ensure that commercial disputes are resolved at the threshold without choking the docket of the Commercial Courts.,1,Settled Law (Landmark Division Bench),1,ALL,Supreme Court Cases (SCC) / Official Law Reports
a6ad890a-3d03-438f-908e-3e2921ad51b0,Cox and Kings Ltd. v. SAP India Pvt. Ltd. and Another,2023 INSC 1051,(2024) 4 SCC 1,Supreme Court of India,2023-12-06,"D. Y. Chandrachud CJI, S. K. Kaul, Sanjiv Khanna, B. R. Gavai, Surya Kant JJ.",5,Arbitration - Group of Companies Doctrine,"The 'Group of Companies' doctrine is retained in Indian arbitration jurisprudence under Section 7 of the 1996 Act. A non-signatory company within a corporate group can be bound by an arbitration agreement if there is mutual intent discernible from negotiation, performance, or economic reality, without piercing the corporate veil.","Held: The doctrine is founded on the mutual intent of the parties to bind a non-signatory. It does not operate as an exception to consent, but rather as an application of modern commercial principles of consent in multi-party contractual arrangements.",1,Settled Law (5-Judge Constitution Bench),1,ALL,Supreme Court Cases (SCC) / Official Law Reports
44972d9e-64bb-4c71-8141-990a7640cb62,SMS Tea Estates Pvt. Ltd. v. Chandmari Tea Co. Pvt. Ltd.,2011 INSC 582,(2011) 14 SCC 66,Supreme Court of India,2011-07-20,"R. V. Raveendran, A. K. Patnaik JJ.",2,Arbitration - Unstamped Agreements,An arbitration agreement contained in an unstamped or deficiently stamped commercial contract cannot be acted upon or enforced until the contract is impounded and requisite stamp duty paid.,[HISTORICAL RECORD] Formerly held that unstamped arbitration agreements cannot be referred under Section 11.,0,OVERRULED by 7-Judge Constitution Bench in In Re Interplay Between Arbitration Agreements (2023),1,ALL,Supreme Court Cases (SCC) / Official Law Reports
fe355e1e-e285-48cc-8994-bb25be16eec4,Kailash Nath Associates v. Delhi Development Authority and Another,2015 INSC 22,(2015) 4 SCC 136,Supreme Court of India,2015-01-09,"Ranjan Gogoi, R. F. Nariman JJ.",2,Contract Act - Liquidated Damages vs Forfeiture,"Section 74 of the Indian Contract Act, 1872 applies to all cases of breach, including forfeiture of earnest money. Where damage or loss is ascertainable, proof of actual commercial loss is an indispensable requirement and cannot be dispensed with. Liquidated damages can only be awarded where proof of loss is genuinely impossible or difficult to ascertain.",Held: Compensation can only be awarded where damage or loss is actually suffered. The party complaining of breach must demonstrate that it suffered actual loss before forfeiting an earnest deposit.,1,Settled Law (Landmark Division Bench),1,ALL,Supreme Court Cases (SCC) / Official Law Reports
ffe69497-5cc0-469a-bc8a-96b5f30a76ff,Novartis AG and Another v. Natco Pharma Ltd.,2023:DHC:401-DB,2023 SCC OnLine Del 401,High Court of Delhi,2023-01-16,"Manmohan, Saurabh Banerjee JJ.",2,Commercial Dispute - Interim Injunction Standards,"In commercial matters, interim injunction under Order XXXIX Rules 1 & 2 CPC requires the concurrent satisfaction of three tests: prima facie case, balance of convenience, and irreparable injury. The Court must assess commercial peril and maintain proportionality between party rights.","Held: In commercial suits, interim relief requires an objective evaluation of immediate economic threat and irreparable harm that damages cannot redress.",1,"Settled Law (Division Bench, High Court of Delhi)",1,ALL,Supreme Court Cases (SCC) / Official Law Reports
e7ca7d37-c75f-477c-8239-267f2a0317e3,Cheran Properties Ltd. v. Kasturi and Sons Ltd. and Others,2018 INSC 396,(2018) 16 SCC 413,Supreme Court of India,2018-04-24,"A. M. Sapre, U. U. Lalit JJ.",2,Arbitration - Group of Companies & Award Enforcement,An arbitral award can be enforced against a non-signatory under Section 35 and Section 36 if the non-signatory is a person claiming through or under a party by virtue of economic involvement.,Held: The group of companies doctrine applies in enforcement proceedings under Section 35.,1,Caution: Distinguished and limited by 5-Judge Constitution Bench in Cox and Kings (2024),0,ALL,Supreme Court Cases (SCC) / Official Law Reports
c9ee0607-9b12-4df8-8c4c-85136f6055bf,Union of India v. Popular Construction Co.,2001 INSC 449,(2001) 8 SCC 470,Supreme Court of India,2001-10-05,"D. P. Mohapatra, K. G. Balakrishnan JJ.",2,Arbitration - Section 34 Limitation Exclusion,"The phrase 'but not thereafter' in the proviso to Section 34(3) of the Arbitration Act, 1996 amounts to an express exclusion of Section 5 of the Limitation Act, 1963. The court has no power to condone delay beyond 30 days.",Held: Section 5 Limitation Act does not apply to Section 34 applications beyond 30 days.,1,Settled Law (Division Bench),0,ALL,Supreme Court Cases (SCC) / Official Law Reports
16346efd-1fb6-4168-88cd-434f954561e5,"In Re: Interplay Between Arbitration Agreements under the Arbitration and Conciliation Act, 1996 and the Indian Stamp Act, 1899",2023 INSC 1066,(2024) 6 SCC 1,Supreme Court of India,2023-12-13,"D. Y. Chandrachud CJI, S. K. Kaul, Sanjiv Khanna, B. R. Gavai, Surya Kant, J. B. Pardiwala, Manoj Misra JJ.",7,Arbitration - Stamping & Non-Operative Clauses,Non-stamping or insufficient stamping of an underlying commercial contract does not render the arbitration agreement void ab initio or non-existent. Stamping is a curable defect. Referral courts under Section 8 and Section 11 must restrict inquiry to prima facie existence and remit stamping objections to the Arbitral Tribunal under Section 16.,Held: The objection as to stamping does not go to the root of the jurisdiction of the referral court. Arbitration agreements in unstamped contracts are enforceable for referral.,1,Settled Law (7-Judge Constitution Bench overruling SMS Tea Estates and N.N. Global),0,SUPREME_COURT,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
c094b202-b9b7-46bb-961a-72793e1448e5,Ambalal Sarabhai Enterprises Ltd. v. K.S. Infraspace LLP and Another,2019 INSC 1113,(2020) 15 SCC 585,Supreme Court of India,2019-10-04,"R. Banumathi, A. S. Bopanna JJ.",2,Commercial Courts Act - Definition of Commercial Dispute,"A dispute relating to immovable property can be categorized as a 'commercial dispute' under Section 2(1)(c)(vii) of the Commercial Courts Act, 2015 only if the property is actually and exclusively used in trade or commerce at the time of suit. Potential or intended future commercial use does not bring the dispute within the jurisdiction of the Commercial Court.","Held: The words 'used exclusively in trade or commerce' require actual, present commercial exploitation.",1,Settled Law (Division Bench),0,SUPREME_COURT,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
02b6f96e-c55b-41e1-8156-74c79b889441,Sudhir Kumar @ S. Baliyan v. Vinay Kumar G.B.,2021 INSC 534,(2021) 13 SCC 399,Supreme Court of India,2021-09-15,"Dr. D. Y. Chandrachud, M. R. Shah JJ.",2,Commercial Courts Act - Order XI CPC Document Disclosure,"Under Order XI Rule 1(4) and (5) CPC as amended by the Commercial Courts Act, 2015, a plaintiff must file all documents in its power, possession, or custody with the plaint. Additional documents cannot be introduced subsequently without leave of court, which can be granted only upon demonstrating 'reasonable cause' for non-disclosure at the inception.",Held: Leave to file additional documents under Order XI Rule 1(5) CPC is strictly conditioned on reasonable cause.,1,Settled Law (Division Bench),0,SUPREME_COURT,Supreme Court Cases (SCC) / Supreme Court Reports (SCR)
