id,source_case_id,cited_case_name,cited_case_citation,treatment,pinpoint_paragraph
58107080-1d3d-4af1-a5e0-5764ea02fa90,c119c2db-8f79-489a-893e-f07758e382ae,Ganga Taro Vazirani v. Deepak Raheja,2021 SCC OnLine Bom 195,OVERRULED,para 72
41575444-341f-4312-838e-2c042c2e2b98,c119c2db-8f79-489a-893e-f07758e382ae,M/s S. Patil v. State of Maharashtra,(2015) 1 SCC 520,CONSIDERED,para 45
3f538f4b-dda6-48a3-a9b3-bb4a81d4356b,c119c2db-8f79-489a-893e-f07758e382ae,Yamini Manohar v. T.K.D. Keerthi,(2024) 5 SCC 815,APPLIED,para 10
0ada46a6-3284-4e79-ba73-ae6d28e513d0,c119c2db-8f79-489a-893e-f07758e382ae,Manoj Kumar v. Preeti Enterprises,2023 SCC OnLine Del 4510,APPLIED,para 14
6b5fedcb-a9dc-41ca-8f4a-8a547cf01b54,a6ad890a-3d03-438f-908e-3e2921ad51b0,Chloro Controls India (P) Ltd. v. Severn Trent Water,(2013) 1 SCC 641,MODIFIED,para 104
796aba34-b23a-44c6-922f-8b71d1f840b7,a6ad890a-3d03-438f-908e-3e2921ad51b0,Reckitt Benckiser (India) (P) Ltd. v. Reynders Label Printing,(2019) 7 SCC 62,OVERRULED,para 160
0b563574-cb86-494a-a3e1-42edf248ec00,a6ad890a-3d03-438f-908e-3e2921ad51b0,Ajay Madhusudan Patel v. Jyotrindra S. Patel,2024 INSC 712,APPLIED,para 25
5f46dc07-0070-43b2-98c4-1366b32b5c45,44972d9e-64bb-4c71-8141-990a7640cb62,In Re: Interplay Between Arbitration Agreements,(2024) 6 SCC 1,OVERRULED,para 184
bd1f52db-0c85-4674-9600-b085255319e9,44972d9e-64bb-4c71-8141-990a7640cb62,Vidya Drolia v. Durga Trading Corpn.,(2021) 2 SCC 1,CONSIDERED,para 76
0571f58d-0b4b-451e-a23e-c976dfde8a1c,fe355e1e-e285-48cc-8994-bb25be16eec4,Fateh Chand v. Balkishan Dass,(1964) 1 SCR 515,AFFIRMED,para 10
55494ec6-a8a6-4623-b721-252e100db7b0,fe355e1e-e285-48cc-8994-bb25be16eec4,Maula Bux v. Union of India,(1969) 2 SCC 554,AFFIRMED,para 12
083f1cb1-cecd-4b4a-abe1-1e6fe89efbe9,fe355e1e-e285-48cc-8994-bb25be16eec4,Construction & Design Services v. DDA,(2015) 14 SCC 263,CONSIDERED,para 15
3b76a119-3a07-4e74-8c68-91ab38d1676d,ffe69497-5cc0-469a-bc8a-96b5f30a76ff,Wander Ltd. v. Antox India P. Ltd.,1990 (Supp) SCC 727,FOLLOWED,para 14
f2becf37-0edb-44dd-98bb-e8d47cdc1cfa,ffe69497-5cc0-469a-bc8a-96b5f30a76ff,Bristol-Myers Squibb Co. v. BDR Pharmaceuticals,2020 SCC OnLine Del 1700,CONSIDERED,para 31
7d175956-c77c-4879-b7a4-748b4a65a556,c119c2db-8f79-489a-893e-f07758e382ae,Yamini Manohar v. T.K.D. Keerthi,(2024) 5 SCC 815,APPLIED,para 10
a9916dfc-2bbc-48cf-9e1c-58360cca5a15,c119c2db-8f79-489a-893e-f07758e382ae,Manoj Kumar v. Preeti Enterprises,2023 SCC OnLine Del 4510,APPLIED,para 14
9fa48be0-6bfd-4386-b594-502361a70849,a6ad890a-3d03-438f-908e-3e2921ad51b0,Chloro Controls India (P) Ltd. v. Severn Trent Water,(2013) 1 SCC 641,MODIFIED,para 104
be5d8785-42dd-484f-8575-dc66362158eb,a6ad890a-3d03-438f-908e-3e2921ad51b0,Reckitt Benckiser (India) (P) Ltd. v. Reynders Label Printing,(2019) 7 SCC 62,OVERRULED,para 160
aaaa5489-997d-44fa-be67-f94b0dcbf3b1,a6ad890a-3d03-438f-908e-3e2921ad51b0,Ajay Madhusudan Patel v. Jyotrindra S. Patel,2024 INSC 712,APPLIED,para 25
01133c53-4505-4c85-bb9b-74a0d410d9a5,44972d9e-64bb-4c71-8141-990a7640cb62,In Re: Interplay Between Arbitration Agreements,(2024) 6 SCC 1,OVERRULED,para 184
305b1ad0-08bb-40c4-be71-2d81983d86e1,44972d9e-64bb-4c71-8141-990a7640cb62,Vidya Drolia v. Durga Trading Corpn.,(2021) 2 SCC 1,CONSIDERED,para 76
5f3c07a4-ee9d-4038-ba78-b7670e4cfbf9,fe355e1e-e285-48cc-8994-bb25be16eec4,Fateh Chand v. Balkishan Dass,(1964) 1 SCR 515,AFFIRMED,para 10
527c2b2a-4979-4155-91ec-bee9281ded11,fe355e1e-e285-48cc-8994-bb25be16eec4,Maula Bux v. Union of India,(1969) 2 SCC 554,AFFIRMED,para 12
42d5fccc-ad85-4c00-a342-c5699cd51aa5,fe355e1e-e285-48cc-8994-bb25be16eec4,Construction & Design Services v. DDA,(2015) 14 SCC 263,CONSIDERED,para 15
abedfaa0-3d38-46e6-85ae-babb7a0c8384,e7ca7d37-c75f-477c-8239-267f2a0317e3,Cox and Kings Ltd. v. SAP India Pvt. Ltd.,(2024) 4 SCC 1,DISTINGUISHED,para 88
372366b1-b0b1-48e0-bcd0-683b261d0a57,e7ca7d37-c75f-477c-8239-267f2a0317e3,Ajay Madhusudan Patel v. Jyotrindra S. Patel,2024 INSC 712,MODIFIED,para 32
ca0f4e4b-9cb9-4853-a55b-d03a1df2224f,16346efd-1fb6-4168-88cd-434f954561e5,SMS Tea Estates Pvt. Ltd. v. Chandmari Tea Co. Pvt. Ltd.,(2011) 14 SCC 66,OVERRULED,para 184
09225dca-fcc7-46f9-aa0e-1ee0c0cc3bb7,16346efd-1fb6-4168-88cd-434f954561e5,N.N. Global Mercantile (P) Ltd. v. Indo Unique Flame Ltd.,(2023) 7 SCC 1,OVERRULED,para 185
621a4592-9c0d-4238-96a1-669978b379b6,c094b202-b9b7-46bb-961a-72793e1448e5,Kailash Devi v. Delhi Development Authority,(2005) 9 SCC 22,CONSIDERED,para 12
db96e4c1-6d37-447b-b0dd-d2943e7bb36c,02b6f96e-c55b-41e1-8156-74c79b889441,Patil Automation Private Limited v. Rakheja Engineers,(2022) 10 SCC 1,CONSIDERED,para 10
1c185d70-4848-479e-9731-79b72dbcdcc4,56520389-f3ce-44b4-9186-c3675a05662e,Booz Allen & Hamilton Inc. v. SBI Home Finance Ltd.,(2011) 5 SCC 532,AFFIRMED,para 36
166131e7-2486-497f-87d3-f6686882ce8b,56520389-f3ce-44b4-9186-c3675a05662e,Himangni Enterprises v. Kamaljeet Singh Ahluwalia,(2017) 10 SCC 706,OVERRULED,para 80
1af6da3d-6860-4daa-8c88-e3535aab223f,a9c7c5ad-394e-40fb-bdc1-bb3fea97ac7d,Fateh Chand v. Balkishan Dass,(1964) 1 SCR 515,CONSIDERED,para 40
760539f7-7759-4c61-9dce-9334cdf7c6f6,a9c7c5ad-394e-40fb-bdc1-bb3fea97ac7d,Maula Bux v. Union of India,(1969) 2 SCC 554,CONSIDERED,para 42
59ae7352-114e-4fd1-92e1-a956737b2dc7,90be2af5-d091-496e-9ba5-acab4a8cbc03,Swiss Ribbons (P) Ltd. v. Union of India,(2019) 4 SCC 17,APPLIED,para 15
6a977a8e-0fba-46aa-b9f9-6ababd4b509e,90be2af5-d091-496e-9ba5-acab4a8cbc03,Pioneer Urban Land and Infrastructure Ltd. v. Union of India,(2019) 8 SCC 416,CONSIDERED,para 18
8ac16269-bbdc-42ce-930f-2fe3b901d6b5,1f8776a4-b15b-458b-a4ca-2d0d7cc205c7,Dabur India Ltd. v. Colortek Meghalaya Pvt. Ltd.,2010 SCC OnLine Del 391,FOLLOWED,para 22
3b065e9c-e803-46f8-8926-8d7b1432cd70,1f8776a4-b15b-458b-a4ca-2d0d7cc205c7,Tata Sons Ltd. v. Greenpeace International,2011 SCC OnLine Del 466,CONSIDERED,para 25
