id,user_id,matter_id,query_text,case_context,jurisdiction,lead_citation,lead_title,summary_extract,confidence_score,uncertainty_level,notes,tags,full_payload,is_demo_data,created_at
fb9ac195-7879-474f-9298-bc9af383fb74,ad154b01-4d01-40ce-8204-4a4dfbca8b48,CS(COMM) 412/2026,Whether pre-institution mediation under Section 12A Commercial Courts Act is mandatory and consequences of non-exhaustion under Order VII Rule 11 CPC,Commercial suit for breach of software license agreement; defendant moved application for rejection of plaint.,Supreme Court of India,(2022) 10 SCC 1,Patil Automation Private Limited and Others v. Rakheja Engineers Private Limited,"Pre-institution mediation under Section 12A of the Commercial Courts Act, 2015 is a mandatory condition precedent. Non-exhaustion without urgent relief requires rejection under Order VII Rule 11 CPC.",0.96,LOW,Essential precedent for today's hearing on Interim Injunction application. Scrutinize plaint para 14 for genuine urgency.,"Mandatory Mediation, Section 12A, Order VII Rule 11 CPC",{},1,2026-09-04 10:59:01.196002
1d43c613-26bc-4877-93b0-8b4fbd54df08,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.74,MEDIUM,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-04 10:59:01.543007
953b1334-8db9-432f-b346-98ed448216a7,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.74,MEDIUM,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-04 11:26:00.957870
8861956b-b887-42e0-9cb3-cea1b92f5cb8,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.74,MEDIUM,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-04 11:44:50.040150
f8ab456c-58de-45f8-84e0-4d1e2a82aff5,ad154b01-4d01-40ce-8204-4a4dfbca8b48,CS(COMM) 412/2026,Whether Section 12A Commercial Courts Act is mandatory,Commercial suit for breach of contract,Supreme Court of India,(2022) 10 SCC 1,Patil Automation Private Limited,Pre-institution mediation is mandatory.,0.96,LOW,Scrutinize urgent interim prayer.,"Section 12A, Order VII Rule 11",{},1,2026-09-04 11:49:16.018485
17cabec8-baf0-4057-ac78-bd80f03da592,ad154b01-4d01-40ce-8204-4a4dfbca8b48,,Section 9 interim relief in commercial disputes,,ALL,,,,0.95,LOW,,"Pre-Institution Mediation, Commercial Courts Act",{},1,2026-09-04 17:30:37.650794
c4f50162-96ed-4d4b-a355-8da9f31247b1,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.52,HIGH,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-04 18:40:45.201840
0646b1e3-2716-4630-afae-ad2cccd167b2,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.52,HIGH,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-04 19:00:03.972860
6c0abbf9-dcf6-40d2-ae4b-4af847c9916b,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.52,HIGH,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-04 19:21:19.984731
53c37204-b2b2-47a1-a724-0261512d93c5,test-user-id,CS(COMM) 999/2026,Enforceability of an arbitration clause in an unstamped commercial contract at the Section 11 stage,Dispute regarding unstamped lease deed with arbitration clause,ALL,In Re: Interplay,Curative Petition (C) No. 44 of 2023,Unstamped agreement does not render arbitration clause void ab initio.,0.52,HIGH,Requires oral examination on whether original document was impounded.,"Arbitration, Stamp Act, Curative Bench",{},1,2026-09-05 03:43:05.497421
